Resource,Start,End,Track,Train
13,365.33,369.28,22,9
1,390.13,391.13,42,13
3,390.99,391.99,43,9
4,383.18,383.18,44,10
5,383.18,393.68,44,10
12,361.34,383.18,20,10
13,361.34,365.29,20,10
6,392.09,392.09,45,1
7,392.09,394.09,45,1
12,370.27,392.09,27,1
13,370.27,374.22,27,1
2,393.07,394.07,44,10
1,394.07,395.07,45,1
8,395.14,395.14,46,5
9,395.14,395.34,46,5
12,375.25,395.14,31,5
13,375.25,379.20,31,5
3,395.29,396.29,46,5
6,393.60,393.60,48,7
7,393.60,398.10,48,7
16,372.61,393.60,29,7
15,372.61,376.91,29,7
1,397.49,398.49,48,7
2,397.84,398.84,49,0
8,397.82,397.82,50,12
9,397.82,399.72,50,12
16,377.54,397.82,32,12
15,377.54,381.84,32,12
3,399.68,400.68,50,12
1,401.00,402.00,51,0
4,397.16,399.66,52,6
5,399.66,402.66,52,6
10,378.26,397.16,33,6
11,378.26,384.18,33,6
2,402.62,403.62,52,6
8,403.27,403.27,53,11
9,403.27,404.07,53,11
16,381.88,403.27,35,11
15,381.88,386.18,35,11
3,404.03,405.03,53,11
6,401.91,401.91,54,3
7,401.91,405.11,54,3
12,379.86,401.91,34,3
13,379.86,383.81,34,3
1,405.08,406.08,54,3
8,404.67,404.67,55,8
9,404.67,408.37,55,8
12,383.82,404.67,37,8
13,383.82,387.77,37,8
3,407.38,408.38,55,8
4,405.90,405.90,56,4
5,405.90,408.60,56,4
10,387.74,405.90,40,4
11,387.74,393.66,40,4
6,407.55,407.55,57,2
7,407.55,409.15,57,2
16,386.20,407.55,38,2
15,386.20,390.50,38,2
1,408.61,409.61,57,2
2,408.38,409.38,56,4
1,412.01,413.01,58,0
8,412.53,412.53,60,9
9,412.53,413.53,60,9
16,391.02,412.53,43,9
15,391.02,395.32,43,9
2,413.11,414.11,59,0
3,413.46,414.46,60,9
6,413.16,413.16,61,10
7,413.16,415.46,61,10
10,393.68,413.16,44,10
11,393.68,399.60,44,10
1,415.45,416.45,61,10
4,416.52,416.52,62,5
5,416.52,416.92,62,5
16,395.34,416.52,46,5
15,395.34,399.64,46,5
8,415.75,415.75,63,1
9,415.75,417.85,63,1
12,394.09,415.75,45,1
13,394.09,398.04,45,1
2,416.88,417.88,62,5
3,417.51,418.51,63,1
6,411.75,411.75,64,13
7,411.75,419.45,64,13
12,390.14,411.75,42,13
13,390.14,394.09,42,13
1,418.90,419.90,64,13
8,421.56,421.56,65,7
9,421.56,422.16,65,7
12,398.10,421.56,48,7
13,398.10,402.05,48,7
3,421.34,422.34,65,7
4,420.54,420.54,66,12
5,420.54,422.84,66,12
16,399.72,420.54,50,12
15,399.72,404.02,50,12
2,422.54,423.54,66,12
6,422.56,422.56,67,6
7,422.56,423.66,67,6
10,402.66,422.56,52,6
11,402.66,408.58,52,6
1,423.59,424.59,67,6
8,425.49,425.49,69,11
9,425.49,426.49,69,11
16,404.07,425.49,53,11
15,404.07,408.37,53,11
3,425.68,426.68,69,11
1,426.34,427.34,70,0
2,427.36,428.36,72,0
6,429.31,429.31,73,8
7,429.31,429.81,73,8
16,408.37,429.31,55,8
15,408.37,412.67,55,8
1,429.76,430.76,73,8
8,430.60,430.60,74,2
9,430.60,431.10,74,2
12,409.15,430.60,57,2
13,409.15,413.10,57,2
3,431.07,432.07,74,2
3,432.34,433.34,75,0
6,426.61,426.61,76,3
7,426.61,434.31,76,3
12,405.11,426.61,54,3
13,405.11,409.06,54,3
